id,nama,url,harga
161,Canon EOS R6 Body,https://galaxycamera.id/en/canon-eos-r6-body.html,"Rp42.850.000,00"
162,Memory SDHC Sandisk Ultra 32GB 90mb/s,https://galaxycamera.id/en/memory-sdhc-sandisk-ultra-32gb-90mbps.html,"Rp185.000,00"
163,GoPro Quik Key Micro USB,https://galaxycamera.id/en/gopro-quik-key-micro-usb.html,"Rp200.000,00"
164,GoPro Quik Key For iPhone/iPad,https://galaxycamera.id/en/gopro-quik-key-for-iphone-ipad.html,"Rp275.000,00"
165,Saramonic Blink 500 B1 UltraCompact Wireless Clip-on,https://galaxycamera.id/en/saramonic-blink-500-b1-ultracompact-wireless-clip-on.html,"Rp1.690.000,00"
166,LensGo LWM-318C Lavalier Wireless Microphone White,https://galaxycamera.id/en/lensgo-lwm-318c-lavalier-wireless-microphone-white.html,"Rp1.150.000,00"
167,LensGo LWM-318C Lavalier Wireless Microphone Black,https://galaxycamera.id/en/lensgo-lwm-318c-lavalier-wireless-microphone-black.html,"Rp1.150.000,00"
168,LensGo Multifunctional Mini Tripod L311 Black,https://galaxycamera.id/en/lensgo-multifunctional-mini-tripod-l311-black.html,"Rp150.000,00"
169,Takara TVH-1510 3 Way Pan Video Head,https://galaxycamera.id/en/takara-tvh-1510-3-way-pan-video-head.html,"Rp245.000,00"
170,Attanta VD-2500 Tripod,https://galaxycamera.id/en/attanta-vd-2500.html,"Rp1.399.000,00"
171,Sony FDR-AXP55 Handycam,https://galaxycamera.id/en/sony-fdr-axp55-handycam.html,"Rp16.999.000,00"
172,Maono AU-CM11PL Professional Live Recording,https://galaxycamera.id/en/maono-au-cm11pl-professional-live-recording.html,"Rp780.000,00"
173,Maono AU-402L Lavalier Microphone,https://galaxycamera.id/en/maono-au-402l-lavalier-microphone.html,"Rp115.000,00"
174,Maono AU-200 Dual Lavalier Microphone,https://galaxycamera.id/en/maono-au-200-dual-lavalier-microphone.html,"Rp290.000,00"
175,Maono AU-100 Lavalier Microphone,https://galaxycamera.id/en/maono-au-100-lavalier-microphone.html,"Rp195.000,00"
176,Insta360 ONE R 1-inch Edition,https://galaxycamera.id/en/insta360-one-r-1-inch-edition.html,"Rp9.599.000,00"
177,Insta360 ONE R 4K Edition,https://galaxycamera.id/en/insta360-one-r-4k-edition.html,"Rp5.199.000,00"
178,Fujifilm X-T4 Kit XF 18-55mm F/2.8-4 R LM OIS Silver,https://galaxycamera.id/en/fujifilm-x-t4-kit-xf-18-55mm-silver.html,"Rp32.999.000,00"
179,Fujifilm X-T4 Kit XF 18-55mm F/2.8-4 R LM OIS Black,https://galaxycamera.id/en/fujifilm-x-t4-kit-xf-18-55mm-black.html,"Rp32.999.000,00"
180,Fujifilm X-T4 Body Silver,https://galaxycamera.id/en/fujifilm-x-t4-body-silver.html,"Rp26.499.000,00"
181,Fujifilm X-T4 Body Black,https://galaxycamera.id/en/fujifilm-x-t4-body-black.html,"Rp26.499.000,00"
